City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,Laguna,US,60.62,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
325,Codrington,AU,64.56,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
326,Araguaina,BR,80.49,moderate rain,-7.1911,-48.2072,Hotel São Vicente
327,Redlands,US,70.02,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
329,Skeldon,GY,78.98,broken clouds,5.8833,-57.1333,Classic International Hotel & Suites
331,Lompoc,US,64.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
334,Tucuman,AR,62.6,mist,-26.8241,-65.2226,Dallas Hotel Tucuman
336,Kampene,CD,80.94,overcast clouds,-3.6,26.6667,
338,Bandarbeyla,SO,77.41,scattered clouds,9.4942,50.8122,JABIR HOTEL
340,Kieta,PG,78.21,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
347,Bahia Blanca,AR,71.94,clear sky,-38.7196,-62.2724,Hotel Argos
348,Upata,VE,77.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
350,Richards Bay,ZA,83.28,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
351,Umm Kaddadah,SD,80.55,clear sky,13.6017,26.6876,
354,Trairi,BR,83.62,overcast clouds,-3.2778,-39.2689,janelas do mar
355,Barahona,DO,85.82,few clouds,18.2085,-71.1008,Hotel Caribe
358,Manaure,CO,85.08,scattered clouds,11.7751,-72.4445,Hotel Palaaima
359,Muros,ES,60.24,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
361,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
362,Aswan,EG,75.63,clear sky,24.0934,32.907,Nuba Nile
363,Tucurui,BR,75.22,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
366,Carutapera,BR,79.93,overcast clouds,-1.195,-46.02,Lidera
368,Suwannaphum,TH,86.04,scattered clouds,15.6035,103.8021,วรรณมณี รีสอร์ท
375,Karratha,AU,87.22,few clouds,-20.7377,116.8463,ibis Styles Karratha
381,Ituiutaba,BR,78.26,broken clouds,-18.9689,-49.465,Bernal Hotel
384,Saint-Philippe,RE,80.19,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
385,Bahawalpur,PK,66.02,clear sky,29.4,71.6833,Pak Continental Hotel
387,Champerico,GT,88.75,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
388,Kidal,ML,85.84,clear sky,18.4411,1.4078,
390,Isangel,VU,79.3,broken clouds,-19.55,169.2667,Tanna Lodge
391,Araguacu,BR,80.4,broken clouds,-12.9306,-49.8264,Hotel Tocantins
392,Cabra,ES,65.14,broken clouds,37.4725,-4.4421,MS Fuente Las Piedras
393,Samarai,PG,80.42,overcast clouds,-10.6167,150.6667,Nuli Sapi
395,Santa Cruz,BO,78.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
396,Nanakuli,US,72.1,clear sky,21.3906,-158.1547,Camp Pālehua
397,Singapore,SG,78.94,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
398,Marquard,ZA,81.0,broken clouds,-28.6645,27.4305,Le Cheri Country Guesthouse
400,Ponta Do Sol,PT,69.71,clear sky,32.6667,-17.1,Hotel do Campo
402,Choachi,CO,72.99,overcast clouds,4.529,-73.9227,Finca Lourdes
403,Ahuimanu,US,71.85,few clouds,21.4447,-157.8378,Paradise Bay Resort
404,Yangjiang,CN,66.94,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
406,Virarajendrapet,IN,66.18,scattered clouds,12.2,75.8,Orchid Inn
408,Kamina,CD,72.66,moderate rain,-8.7386,24.9906,Guest House Florvia
409,Dawei,MM,74.35,few clouds,14.0833,98.2,Hotel Dawei
410,Anicuns,BR,75.67,scattered clouds,-16.4611,-49.9617,Hotel Florida
415,Pekan,MY,75.31,scattered clouds,3.4836,103.3996,Pekan Budget Hotel
417,Pimenta Bueno,BR,83.43,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
421,Warkworth,NZ,75.42,broken clouds,-36.4,174.6667,Bridge House Lodge Bar & Restaurant
422,Gizo,SB,79.14,overcast clouds,-8.103,156.8419,Imagination Island
423,Mizan Teferi,ET,75.13,light rain,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
424,Araouane,ML,78.64,clear sky,18.9048,-3.5265,
425,Grand-Santi,GF,81.79,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
426,Port-Gentil,GA,80.92,light rain,-0.7193,8.7815,Fengshui Residence
429,Ambulu,ID,76.21,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
430,Kiama,AU,68.0,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
432,Kiunga,PG,75.49,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
433,Makakilo City,US,70.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
439,Poum,NC,80.53,broken clouds,-20.2333,164.0167,
440,Viedma,AR,75.45,overcast clouds,-40.8135,-62.9967,Hotel Cristal
441,Mount Isa,AU,74.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
442,Teguise,ES,62.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
443,Huarmey,PE,74.34,broken clouds,-10.0681,-78.1522,Hotel Miramar
444,Nago,JP,68.85,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
446,Peniche,PT,63.63,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
454,Hue,VN,73.51,scattered clouds,16.4667,107.6,Saigon Morin Hotel
464,Los Llanos De Aridane,ES,67.12,scattered clouds,28.6585,-17.9182,Valle Aridane
465,Sarangani,PH,81.95,overcast clouds,5.4033,125.4636,Ballistic Islet
468,Acajutla,SV,84.79,clear sky,13.5928,-89.8275,Laureles
469,Presidencia Roque Saenz Pena,AR,70.93,light rain,-26.7852,-60.4388,Hotel Gualok
470,Matay,EG,68.18,clear sky,28.419,30.7792,Nag Aespen
471,San Jose,US,62.2,broken clouds,37.3394,-121.895,The Westin San Jose
473,Mutare,ZW,74.3,few clouds,-18.9707,32.6709,Ann Bruce Backpackers
474,Saraland,US,60.31,broken clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
479,Maumere,ID,78.57,overcast clouds,-8.6199,122.2111,Sylvia Hotel
482,Padang,ID,78.64,overcast clouds,-0.9492,100.3543,Mercure Padang
484,Talcahuano,CL,80.28,clear sky,-36.7167,-73.1167,departamento comodo
485,Moindou,NC,75.15,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
486,Tual,ID,82.98,few clouds,-5.6667,132.75,Grand Vilia Hotel
488,Alice Springs,AU,63.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
489,Sehithwa,BW,89.11,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
490,Zhuhai,CN,68.92,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
492,Rujewa,TZ,67.95,light rain,-8.7,34.3833,Mafanikio Inn Lodge
493,Qeshm,IR,71.49,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
497,Amapala,HN,90.0,clear sky,13.2922,-87.6539,Restaurante y Casa de Huespedes Veleros
501,Mogadishu,SO,78.42,broken clouds,2.0371,45.3438,Hotel Juba
502,Moyale,KE,87.42,scattered clouds,3.5167,39.0584,La Tahzan Guest House
503,Tabou,CI,83.7,light rain,4.423,-7.3528,hotêl doufoulougou
505,Riyadh,SA,62.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
509,Tamiahua,MX,68.59,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
514,Danville,US,61.11,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
517,Elizabeth City,US,63.05,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
520,Calabozo,VE,88.02,scattered clouds,8.9242,-67.4293,Hotel Giardini
521,Kapiri Mposhi,ZM,74.44,broken clouds,-13.9652,28.6809,MA 22 LODGE
523,Sur,OM,71.98,clear sky,22.5667,59.5289,Sur Plaza Hotel
524,Nouadhibou,MR,82.38,overcast clouds,20.931,-17.0347,El Medina
525,Bagotville,AU,73.22,broken clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
529,Lamu,KE,80.82,overcast clouds,-2.2717,40.902,Lamu House
531,Soe,ID,67.03,overcast clouds,-9.8607,124.284,Dena Hotel
532,Coahuayana,MX,72.88,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
535,Rondonopolis,BR,84.85,scattered clouds,-16.4708,-54.6356,Serras Hotel
541,Ipixuna,BR,87.75,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
542,Montepuez,MZ,70.48,moderate rain,-13.1256,38.9997,PembaAparthotel
543,Nouakchott,MR,89.53,overcast clouds,18.0858,-15.9785,HOTEL IMAN
544,Pontianak,ID,76.98,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
546,Namatanai,PG,78.08,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
547,Lufilufi,WS,74.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
548,Mobo,PH,75.56,overcast clouds,12.3363,123.6574,Greenview Hotel and Restobar
552,Taoudenni,ML,76.98,clear sky,22.6783,-3.9836,
553,Atar,MR,80.65,scattered clouds,20.5169,-13.0499,Oumou Elghoura
556,Buga,CO,74.91,broken clouds,3.9009,-76.2978,Hotel Guadalajara Buga
558,Natal,BR,88.02,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
561,San Juan Evangelista,MX,67.32,broken clouds,17.9,-95.1333,Salon INAPAM San Juan Evangelista
563,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
564,Aljezur,PT,63.37,broken clouds,37.3191,-8.8033,Amazigh Hostel
565,Ambilobe,MG,76.3,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
566,Takoradi,GH,84.87,overcast clouds,4.8845,-1.7554,Raybow International Hotel
567,Yen Bai,VN,62.67,overcast clouds,21.7,104.8667,AK MOTEL
568,Vila Franca Do Campo,PT,61.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
569,Valparaiso,CL,68.23,few clouds,-33.0393,-71.6273,Hotel Ultramar
572,Palmares Do Sul,BR,86.49,clear sky,-30.2578,-50.5097,Hotel Campos Dourados.
574,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
576,Gat,IL,63.39,clear sky,31.61,34.7642,OlusHome
579,Nortelandia,BR,84.38,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
581,Bambanglipuro,ID,62.6,heavy intensity rain,-7.95,110.2833,Puri Brata
585,Gamba,GA,83.28,scattered clouds,-2.65,10.0,
586,Jurado,CO,83.91,scattered clouds,7.1053,-77.7641,
587,Vondrozo,MG,71.91,scattered clouds,-22.8167,47.2833,
592,Sebeta,ET,68.52,broken clouds,8.9167,38.6167,Alem Hotel And Milto Cinema
594,Pedernales,DO,82.47,clear sky,18.0384,-71.744,Hotel Costa Marina
595,Ugoofaaru,MV,81.09,overcast clouds,5.6667,73.0,Ungoofaaru Inn
596,Matola,MZ,85.51,few clouds,-25.9622,32.4589,Guesthouse Yuba
598,Turbat,PK,72.73,clear sky,26.0023,63.044,Mubashar Quarters
599,Taltal,CL,71.44,clear sky,-25.4,-70.4833,Residencial Karime
602,Uige,AO,77.83,broken clouds,-7.6087,15.0613,Hotel Catraio
603,Ormond Beach,US,74.25,few clouds,29.2858,-81.0559,Makai Beach Lodge
605,Kindu,CD,87.49,overcast clouds,-2.95,25.95,Résidence Okanda
608,Ambatofinandrahana,MG,68.31,clear sky,-20.55,46.8,TATAMO
611,Hualmay,PE,73.94,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
612,Mareeba,AU,74.12,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
613,Barra Da Estiva,BR,77.7,broken clouds,-13.6261,-41.3269,Pousada Central
615,La Serena,CL,67.51,scattered clouds,-29.9078,-71.2542,Terra Diaguita Hostal Boutique & Spa
616,Celestun,MX,74.71,overcast clouds,20.8667,-90.4,Posada Lilia
618,Siuna,NI,76.95,broken clouds,13.7332,-84.7773,hotel los chinitos
619,Singaraja,ID,81.97,light rain,-8.112,115.0882,Puri Bagus Lovina Resort
620,Macas,EC,73.15,overcast clouds,-2.3167,-78.1167,Casa Upano
621,Vanimo,PG,77.52,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
623,Thinadhoo,MV,82.04,overcast clouds,0.5333,72.9333,
624,Sao Lourenco Do Sul,BR,82.45,scattered clouds,-31.3653,-51.9783,Hotel Pousada Verde Água
627,Mahibadhoo,MV,81.55,broken clouds,3.7833,72.9667,Omadhoo Inn
628,Sambava,MG,78.37,light rain,-14.2667,50.1667,Melrose
629,Carai,BR,80.67,scattered clouds,-17.1889,-41.6947,Pousada Auto Vale
630,Mackay,AU,78.78,broken clouds,-21.15,149.2,International Lodge Motel
633,Caliling,PH,80.47,overcast clouds,9.9804,122.4814,Emoha Dive Resort
635,Ijui,BR,89.62,clear sky,-28.3878,-53.9147,Hotel Vera Cruz
638,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
642,Villarrobledo,ES,60.87,broken clouds,39.2699,-2.6012,Hotel Castillo
644,Olinda,BR,87.53,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
646,Praia,CV,82.94,overcast clouds,14.9215,-23.5087,LT Aparthotel
647,Khanpur,PK,67.96,clear sky,28.6453,70.6567,Ahmad bartan store
652,Shakiso,ET,80.37,scattered clouds,5.75,38.9167,Bealu Girma Hottel
653,Canutama,BR,86.09,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
654,Acarau,BR,82.96,light rain,-2.8856,-40.12,castelo pizzaria
655,Cuamba,MZ,70.5,moderate rain,-14.8031,36.5372,Hotel Vision
656,Sao Miguel Do Araguaia,BR,81.55,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
658,Quelimane,MZ,78.75,broken clouds,-17.8786,36.8883,Hotel Flamingo
659,Ponta Delgada,PT,61.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
663,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
664,Mayumba,GA,82.09,few clouds,-3.432,10.6554,LIKWALE LODGE
665,Kudahuvadhoo,MV,82.08,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
